"infinitive","present","past","past-perfect","future","stem","imperative","english","qualifier"
"drikke","drikker","* drakk","har drukket","skal drikke / vil drikke","drikk","Drikk!","drink",
"drive","driver","* drev / dreiv","har drevet","skal drive / vil drive","driv","Driv!","operate, run",
"dyrke","dyrker","dyrket / dyrka","har dyrket / har dyrka","skal dyrke / vil dyrke","dyrk","Dyrk!","cultivate, raise",
"dø","dør","* dødde / døde","har dødd","skal dø / vil dø","dø","Dø!","die",
"døpe","døper","døpte","har døpt","skal døpe / vil døpe","døp","Døp!","baptize",
"eie","eier","* eide / åtte","har eid / har ått","skal eie / vil eie","ei","Ei!","own",
"ete","eter","* åt","har ett","skal ete / vil ete","et","Et!","eat (slang)",
"falle","faller","* falt","har falt","skal falle / vil falle","fall","Fall!","fall",
"finnes","finnes","* fantes","har fantes","skal finnes / vil finnes","finnes","Finnes!","be found, exist",
"fare","farer","* for","har faret / har fart","skal fare / vil fare","far","Far!","fare, travel",
"finne","finner","* fant","har funnet","skal finne / vil finne","finn","Finn!","find",
"flyge","* flyr","* flaug","har flydd","skal flyge / vil flyge","flyg","Flyg!","fly",
"fly","flyr","* fløy","har fløyet","skal fly / vil fly","fly","Fly!","fly",
"flyte","flyter","* fløt / flaut","har flytt","skal flyte / vil flyte","flyt","Flyt!","flow",
"flytte","flytter","flyttet / flytta","har flyttet / har flytta","skal flytte / vil flytte","flytt","Flytt!","move",
"forberede","forbereder","forberedte","har forberedt","skal forberede / vil forberede","forbered","Forbered!","prepare",
"forby","forbyr","* forbød","har forbudt","skal forby / vil forby","forby","Forby!","forbid, prohibit",
"forbyde","forbyder","* forbaud","har forbydd","skal forbyde / vil forbyde","forbyd","Forbyd!","forbid, prohibit",
"forene","forener","forente","har forent","skal forene / vil forene","foren","Foren!","unite",
"foretrekke","foretrekker","* foretrakk","har foretrukket","skal foretrekke / vil foretrekke","foretrekk","Foretrekk!","prefer",
"forklare","forklarer","forklarte","har forklart","skal forklare / vil forklare","forklar","Forklar!","explain",
"forlate","forlater","* forlot","har forlatt","skal forlate / vil forlate","forlat","Forlat!","forsake, leave",
"forlove","forlover","* forlovet / forlova","har forlovet / har forlova","skal forlove / vil forlove","forlov","Forlov!","become engaged","seg"
"fornemme","fornemmer","* fornam / fornemmet","har fornummet / har fornemmet","skal fornemme / vil fornemme","fornemm","Fornemm!","perceive, notice",
"forstå","forstår","* forstod","har forstått","skal forstå / vil forstå","forstå","Forstå!","understand",
"forsvinne","forsvinner","* forsvant","har forsvunnet","skal forsvinne / vil forsvinne","forsvinn","Forsvinn!","disappear",
"forsyne","forsyner","forsynte","har forsynt","skal forsyne / vil forsyne","forsyn","Forsyn!","supply, provide",
"fortelle","forteller","* fortalte","har fortalt","skal fortelle / vil fortelle","fortell","Fortell!","tell, explain",
"fryse","fryser","* frøs / fraus","har frosset","skal fryse / vil fryse","frys","Frys!","freeze, feel cold",
"følge","følger","* fulgte","har fulgt","skal følge / vil følge","følg","Følg!","follow",
"følgje","følgjer","* følgte","har følgt","skal følgje / vil følgje","følgj","Følgj!","follow",
"få","får","* fikk","har fått","skal få / vil få","få","Få!","get, receive",
"gi","gir","* gav","har gitt","skal gi / vil gi","gi","Gi!","give",
"gidde","gidder","* gadd","har giddet","skal gidde / vil gidde","gidd","Gidd!","manage to do something",
"gjelde","gjelder","* gjaldt / galdt","har gjeldt","skal gjelde / vil gjelde","gjeld","Gjeld!","be in force, apply",
"gjøre","* gjør","* gjorde","har gjort","skal gjøre / vil gjøre","gjør","Gjør!","do",
"glede","gleder","* gledet","har gledet","skal glede / vil glede","gled","Gled!","please, make happy",
"glemme","glemmer","glemte","har glemt","skal glemme / vil glemme","glemm","Glemm!","forget",
"gli","glir","* glei / gled","har glidd","skal gli / vil gli","gli","Gli!","glide",
"glimre","glimrer","glimret","har glimret","skal glimre / vil glimre","glimr","Glimr!","glisten",
"gnage","gnager","* gnog / gnagde","har gnagd","skal gnage / vil gnage","gnag","Gnag!","gnaw",
"gni","gnir","* gnidde / gnei / gned","har gnidd","skal gni / vil gni","gni","Gni!","rub",
"grave","graver","* gravde / grov","har gravd","skal grave / vil grave","grav","Grav!","dig",
"gre","grer","gredde","har gredd","skal gre / vil gre","gr","Gr!","comb one’s hair","seg"
"greie","greier","greide","har greid","skal greie / vil greie","grei","Grei!","manage, deal with",
"gripe","griper","* grep / greip","har grepet","skal gripe / vil gripe","grip","Grip!","grasp, seize",
"gråte","gråter","* gråt / gret","har grått","skal gråte / vil gråte","gråt","Gråt!","cry, weep",
"gå","går","* gikk","har gått","skal gå / vil gå","gå","Gå!","go, walk",
"ha","har","hadde","har hatt","skal ha / vil ha","ha","Ha!","have",
"handle","handler","handlet / handla","har handlet / har handla","skal handle / vil handle","handl","Handl!","act, shop, deal with",
"hende","hender","hendte","har hendt","skal hende / vil hende","hend","Hend!","happen",
"henge","henger","* hang","har hengt","skal henge / vil henge","heng","Heng!","hang, drop","intransitive"
"henge","henger","* hengte","har hengt","skal henge / vil henge","heng","Heng!","hang up","transitive"
"hente","henter","hentet / henta","har hentet / har henta","skal hente / vil hente","hent","Hent!","fetch, bring",
"hete","heter","* het / hette","har hett","skal hete / vil hete","het","Het!","be named",
"heve","hever","* hevde / hevet","har hevd / har hevet","skal heve / vil heve","hev","Hev!","raise",
"hilse","hilser","* hilste","har hilst","skal hilse / vil hilse","hils","Hils!","greet",
"hjelpe","hjelper","* hjalp","har hjulpet","skal hjelpe / vil hjelpe","hjelp","Hjelp!","help",
"holde","holder","* holdt","har holdt","skal holde / vil holde","hold","Hold!","keep, hold",
"hoppe","hopper","hoppet / hoppa","har hoppet / har hoppa","skal hoppe / vil hoppe","hopp","Hopp!","hop",
"huske","husker","husket / huska","har husket / har huska","skal huske / vil huske","husk","Husk!","remember",
"hvile","hviler","hvilte","har hvilt","skal hvile / vil hvile","hvil","Hvil!","rest",
"kvile","kviler","kvilte","har kvilt","skal kvile / vil kvile","kvil","Kvil!","rest",
"høre","hører","hørte","har hørt","skal høre / vil høre","hør","Hør!","hear",
"håndhilse","håndhilser","* håndhilste","har håndhilst","skal håndhilse / vil håndhilse","håndhils","Håndhils!","shake hands",
"inkludere","inkluderer","inkluderte","har inkludert","skal inkludere / vil inkludere","inkluder","Inkluder!","include",
"innføre","innfører","innførte","har innført","skal innføre / vil innføre","innfør","Innfør!","introduce",
"interessere","interesserer","interesserte","har interessert","skal interessere / vil interessere","interesser","Interesser!","interest",
"invitere","inviterer","inviterte","har invitert","skal invitere / vil invitere","inviter","Inviter!","invite",
"jobbe","jobber","jobbet / jobba","har jobbet / har jobba","skal jobbe / vil jobbe","jobb","Jobb!","work",
"kjempe","kjemper","kjempet / kjempa","har kjempet / har kjempa","skal kjempe / vil kjempe","kjemp","Kjemp!","fight",
"kjenne","kjenner","kjente","har kjent","skal kjenne / vil kjenne","kjenn","Kjenn!","know (person, place)",
"kjøpe","kjøper","kjøpte","har kjøpt","skal kjøpe / vil kjøpe","kjøp","Kjøp!","purchase",
"kjøre","kjører","kjørte","har kjørt","skal kjøre / vil kjøre","kjør","Kjør!","drive",
"klage","klager","* klaget / klaga / klagde","har klaget / har klaga / har klagd","skal klage / vil klage","klag","Klag!","complain",
"klare","klarer","klarte","har klart","skal klare / vil klare","klar","Klar!","manage",
"kle","kler","kledde","har kledd","skal kle / vil kle","kl","Kl!","dress, suit one",
"klippe","klipper","klippet / klippa","har klippet / har klippa","skal klippe / vil klippe","klipp","Klipp!","cut",
"knekke","knekker","* knakk / knekte / knekket","har knekket / har knekt","skal knekke / vil knekke","knekk","Knekk!","crack, snap",
"koke","koker","kokte","har kokt","skal koke / vil koke","kok","Kok!","boil",
"komme","kommer","* kom","har kommet","skal komme / vil komme","komm","Komm!","come",
"kose","koser","* koste / kosa","har kost ’ har kosa","skal kose / vil kose","kos","Kos!","make cozy",
"koste","koster","kostet / kosta","har kostet / har kosta","skal koste / vil koste","kost","Kost!","cost, sweep",
"kreve","krever","krevde","har krevd","skal kreve / vil kreve","krev","Krev!","demand",
"kritisere","kritiserer","kritiserte","har kritisert","skal kritisere / vil kritisere","kritiser","Kritiser!","criticize",
"krype","kryper","* krøp / kraup","har krøpet","skal krype / vil krype","kryp","Kryp!","creep",
"kunne","* kan","* kunne","har kunnet","skal kunne / vil kunne","kunn","Kunn!","be able to",
"kvede","kveder","* kvad","har kvedet","skal kvede / vil kvede","kved","Kved!","chant, sing",
"la","lar","* lot","har latt","skal la / vil la","la","La!","allow, let",
"lage","lager","* laget / laga / lagde","har laget / har laga / har lagd","skal lage / vil lage","lag","Lag!","make, create",
"late","later","* lot","har latt","skal late / vil late","lat","Lat!","let, allow",
"le","ler","* lo","har ledd","skal le / vil le","le","Le!","laugh",
"lede","leder","* ledet","har ledet","skal lede / vil lede","led","Led!","lead",
"lege","leger","* leget / legte","har leget / har legt","skal lege / vil lege","leg","Leg!","heal, cure",
"legge","legger","* la","har lagt","skal legge / vil legge","legg","Legg!","lay, place",
"leie","leier","leide","har leid","skal leie / vil leie","lei","Lei!","rent",
"leke","leker","lekte","har lekt","skal leke / vil leke","lek","Lek!","play",
"lekke","lekker","* lekket / lekte / lakk","har lekt / har lekket","skal lekke / vil lekke","lekk","Lekk!","leak",
"lese","leser","leste","har lest","skal lese / vil lese","les","Les!","read, study",
"leve","lever","levde","har levd","skal leve / vil leve","lev","Lev!","live, be alive",
"lide","lider","* led","har lidd","skal lide / vil lide","lid","Lid!","suffer, (time) wear on",
"li","* lider","* lei","har lidt","skal li / vil li","li","Li!","suffer, (time) wear on",
"ligge","ligger","* lå","har ligget","skal ligge / vil ligge","ligg","Ligg!","lie",
"ligne","ligner","lignet / ligna","har lignet / har ligna","skal ligne / vil ligne","lign","Lign!","resemble, look like",
"likne","likner","liknet / likna","har liknet / har likna","skal likne / vil likne","likn","Likn!","resemble, look like",
"like","liker","likte","har likt","skal like / vil like","lik","Lik!","like",
"love","lover","* lovet / lova / lovte / lovde","har lovt / har lovet / har lova / har lovd","skal love / vil love","lov","Lov!","promise, praise",
"lukke","lukker","lukket / lukka","har lukket / har lukka","skal lukke / vil lukke","lukk","Lukk!","shut",
"lukte","lukter","luktet / lukta","har luktet / har lukta","skal lukte / vil lukte","lukt","Lukt!","smell",
"lure","lurer","lurte","har lurt","skal lure / vil lure","lur","Lur!","wonder, dupe",
"lytte","lytter","lyttet / lytta","har lyttet / har lytta","skal lytte / vil lytte","lytt","Lytt!","listen",
"lyve","lyver","* løy","løyet","skal lyve / vil lyve","lyv","Lyv!","lie, fib",
"lyge","lyger","* løy","løyet","skal lyge / vil lyge","lyg","Lyg!","lie, fib",
"ljuge","ljuger","* laug","løyet","skal ljuge / vil ljuge","ljug","Ljug!","lie, fib",
"lære","lærer","lærte","har lært","skal lære / vil lære","lær","Lær!","learn, teach",
"løpe","løper","* løp","har løpt / har løpet","skal løpe / vil løpe","løp","Løp!","run",
"låne","låner","lånte","har lånt","skal låne / vil låne","lån","Lån!","lend, borrow",
"male","maler","malte","har malt","skal male / vil male","mal","Mal!","paint, purr",
"melde","melder","meldte","har meldt","skal melde / vil melde","meld","Meld!","announce, report",
"mene","mener","mente","har ment","skal mene / vil mene","men","Men!","think, be of the opinion",
"merke","merker","merket / merka","har merket / har merka","skal merke / vil merke","merk","Merk!","mark",
"misbruke","misbruker","misbrukte","har misbrukt","skal misbruke / vil misbruke","misbruk","Misbruk!","misuse, abuse",
"mislike","misliker","mislikte","har mislikt","skal mislike / vil mislike","mislik","Mislik!","dislike",
"motta","mottar","* mottok","har mottatt","skal motta / vil motta","motta","Motta!","receive",
"møte","møter","møtte","har møtt","skal møte / vil møte","møt","Møt!","meet",
"måtte","* må","* måtte","har måttet","skal måtte / vil måtte","mått","Mått!","have to, be obliged to",
"nyte","nyter","* nøt / naut","har nøtt","skal nyte / vil nyte","nyt","Nyt!","enjoy",
"pipe","piper","* pep","har pepet","skal pipe / vil pipe","pip","Pip!","whistle, pipe",
"prøve","prøver","prøvde","har prøvd","skal prøve / vil prøve","prøv","Prøv!","try, attempt",
"reise","reiser","reiste","har reist","skal reise / vil reise","reis","Reis!","travel, raise",
"rekke","rekker","* rakk","har rukket","skal rekke / vil rekke","rekk","Rekk!","reach, be enough",
"rekke","rekker","* rakte","har rakt","skal rekke / vil rekke","rekk","Rekk!","stretch",
"ride","* rir","* rei","har ridd","skal ride / vil ride","rid","Rid!","ride (horse)",
"ri","rir","* red","har ridd","skal ri / vil ri","ri","Ri!","ride (horse)",
"rive","river","* rev / reiv","har revet","skal rive / vil rive","riv","Riv!","tear apart",
"ryke","ryker","* røk / rauk","har røket","skal ryke / vil ryke","ryk","Ryk!","send out smoke, steam",
"røke","røker","røkte","har røkt","skal røke / vil røke","røk","Røk!","smoke (a cigarette)",
"røyke","røyker","røykte","har røykt","skal røyke / vil røyke","røyk","Røyk!","smoke (a cigarette)",
"se","ser","* så","har sett","skal se / vil se","se","Se!","see",
"selge","selger","* solgte","har solgt","skal selge / vil selge","selg","Selg!","sell",
"sende","sender","sendte","har sendt","skal sende / vil sende","send","Send!","send",
"sette","setter","* satte","har satt","skal sette / vil sette","sett","Sett!","set, place",
"si","* sier","* sa","har sagt","skal si / vil si","si","Si!","say, tell",
"sige","siger","* seig","har seget","skal sige / vil sige","sig","Sig!","sink",
"sitte","sitter","* satt","har sittet","skal sitte / vil sitte","sitt","Sitt!","sit",
"skje","skjer","* skjedde","har skjedd","skal skje / vil skje","skj","Skj!","happen",
"skjelve","skjelver","* skalv","har skjelvet","skal skjelve / vil skjelve","skjelv","Skjelv!","shake, tremble",
"skjære","skjærer","* skar","har skåret","skal skjære / vil skjære","skjær","Skjær!","cut",
"skli","sklir","* sklei / sklidde","har sklidd","skal skli / vil skli","skli","Skli!","slide",
"skrike","skriker","* skrek / skreik","har skreket","skal skrike / vil skrike","skrik","Skrik!","scream",
"skrive","skriver","* skrev","har skrevet","skal skrive / vil skrive","skriv","Skriv!","write",
"skulle","* skal","* skulle","har skullet","skal skulle / vil skulle","skull","Skull!","should, shall",
"skvette","skvetter","* skvatt","har skvettet","skal skvette / vil skvette","skvett","Skvett!","start suddenly",
"skyte","skyter","* skjøt / skaut","har skutt","skal skyte / vil skyte","skyt","Skyt!","shoot",
"skyve","skyver","* skjøv / skauv","har skjøvet","skal skyve / vil skyve","skyv","Skyv!","shove",
"sleppe","slepper","* slapp","har sloppet","skal sleppe / vil sleppe","slepp","Slepp!","let go",
"slippe","slipper","* slapp","har sloppet","skal slippe / vil slippe","slipp","Slipp!","let go",
"slite","sliter","* slet / sleit","har slitt","skal slite / vil slite","slit","Slit!","toil, wear out",
"slå","slår","* slo","har slått","skal slå / vil slå","slå","Slå!","hit, strike",
"slåss","* slåss","* sloss","har slåss","skal slåss / vil slåss","slåss","Slåss!","fight",
"smøre","smører","* smurte","har smurt","skal smøre / vil smøre","smør","Smør!","butter, smear",
"sove","sover","* sov","har sovet","skal sove / vil sove","sov","Sov!","sleep",
"sprekke","sprekker","* sprakk","har sprukket","skal sprekke / vil sprekke","sprekk","Sprekk!","burst, split",
"springe","springer","* sprang","har sprunget","skal springe / vil springe","spring","Spring!","jump",
"spørre","* spør","* spurte","har spurt","skal spørre / vil spørre","spørr","Spørr!","ask",
"stige","stiger","* steg / steig","har steget","skal stige / vil stige","stig","Stig!","climb",
"stikke","stikker","* stakk","har stukket","skal stikke / vil stikke","stikk","Stikk!","stick, stab",
"stjele","stjeler","* stjal","har stålet","skal stjele / vil stjele","stjel","Stjel!","steal",
"stryke","stryker","* strøk / strauk","har strøket","skal stryke / vil stryke","stryk","Stryk!","strike, iron, remove, fall",
"stå","står","* stod","har stått","skal stå / vil stå","stå","Stå!","stand, stand up",
"svi","svir","* sved / svidde / svei","har svidd","skal svi / vil svi","svi","Svi!","burn, suffer",
"svike","sviker","* svek / sveik","har sveket","skal svike / vil svike","svik","Svik!","betray, disappoint",
"synes","* synes / syns","* syntes","har synes / har syns","skal synes / vil synes","synes","Synes!","seem, think, be visible",
"synge","synger","* sang","har sunget","skal synge / vil synge","syng","Syng!","sing",
"synke","synker","* sank","har sunket","skal synke / vil synke","synk","Synk!","sink",
"søke","søker","søkte","har søkt","skal søke / vil søke","søk","Søk!","seek",
"ta","tar","* tok","har tatt","skal ta / vil ta","ta","Ta!","take",
"telle","teller","* talte","har talt","skal telle / vil telle","tell","Tell!","count",
"tenke","tenker","* tenkte","har tenkt","skal tenke / vil tenke","tenk","Tenk!","think, intend",
"tigge","tigger","* tagg","har tigget","skal tigge / vil tigge","tigg","Tigg!","beg, implore",
"tore","* tør","* torde","har tort","skal tore / vil tore","tor","Tor!","dare",
"treffe","treffer","* traff","har truffet","skal treffe / vil treffe","treff","Treff!","meet, hit",
"trekke","trekker","* trakk","har trukket","skal trekke / vil trekke","trekk","Trekk!","drag, pull",
"trives","trives","* trivdes","har trives / har trivs","skal trives / vil trives","trives","Trives!","enjoy, thrive",
"tro","tror","trodde","har trodd","skal tro / vil tro","tro","Tro!","believe",
"tvile","tviler","tvilte","har tvilt","skal tvile / vil tvile","tvil","Tvil!","doubt",
"tvinge","tvinger","* tvang","har tvunget","skal tvinge / vil tvinge","tving","Tving!","force",
"velge","velger","* valgte","har valgt","skal velge / vil velge","velg","Velg!","choose, elect",
"vente","venter","* ventet","har ventet","skal vente / vil vente","vent","Vent!","wait, expect",
"ville","* vil","* ville","har villet","skal ville / vil ville","vill","Vill!","want to, will",
"vinne","vinner","* vant","har vunnet","skal vinne / vil vinne","vinn","Vinn!","win, gain",
"vise","viser","viste","har vist","skal vise / vil vise","vis","Vis!","show",
"vite","* vet","* visste","har visst","skal vite / vil vite","vit","Vit!","know (fact)",
"være","* er","* var","har vært","skal være / vil være","vær","Vær!","be, exist",
"ønske","ønsker","ønsket / ønska","har ønsket / har ønska","skal ønske / vil ønske","ønsk","Ønsk!","wish, desire",
"åpne","åpner","åpnet / åpna","har åpnet / har åpna","skal åpne / vil åpne","åpn","Åpn!","open",
